"Step","mt50_smoe_e6_se0_k4_lb_seed4 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_lb_seed4 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_lb_seed4 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_lb_seed3 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_lb_seed3 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_lb_seed3 - charts/mean_success_rate__MAX","mt50_dmoe_seed4 - charts/mean_success_rate","mt50_dmoe_seed4 - charts/mean_success_rate__MIN","mt50_dmoe_seed4 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_seed4 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_seed4 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_seed4 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_seed3 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_seed3 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_seed3 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_lb_seed2 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_lb_seed2 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_lb_seed2 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_seed2 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_seed2 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_seed2 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_lb_seed1 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_lb_seed1 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_lb_seed1 - charts/mean_success_rate__MAX","mt50_smoe_e6_se0_k4_seed1 - charts/mean_success_rate","mt50_smoe_e6_se0_k4_seed1 - charts/mean_success_rate__MIN","mt50_smoe_e6_se0_k4_seed1 - charts/mean_success_rate__MAX","mt50_dmoe_seed3 - charts/mean_success_rate","mt50_dmoe_seed3 - charts/mean_success_rate__MIN","mt50_dmoe_seed3 - charts/mean_success_rate__MAX"
"399950","0.0036","0.0036","0.0036","0.0092","0.0092","0.0092","0.024399999999999998","0.024399999999999998","0.024399999999999998","0.0036","0.0036","0.0036","0","0","0","0.0028000000000000004","0.0028000000000000004","0.0028000000000000004","0.01","0.01","0.01","0.024","0.024","0.024","0.016800000000000002","0.016800000000000002","0.016800000000000002","0.0036","0.0036","0.0036"
"599950","0.0228","0.0228","0.0228","0.0256","0.0256","0.0256","0.0272","0.0272","0.0272","0.022799999999999997","0.022799999999999997","0.022799999999999997","0.0068","0.0068","0.0068","0.0104","0.0104","0.0104","0.0108","0.0108","0.0108","0.027200000000000002","0.027200000000000002","0.027200000000000002","0.0104","0.0104","0.0104","0.0256","0.0256","0.0256"
"799950","0.028000000000000004","0.028000000000000004","0.028000000000000004","0.0184","0.0184","0.0184","0.0144","0.0144","0.0144","0.028000000000000004","0.028000000000000004","0.028000000000000004","0.019200000000000002","0.019200000000000002","0.019200000000000002","0.012","0.012","0.012","0.033600000000000005","0.033600000000000005","0.033600000000000005","0.008400000000000001","0.008400000000000001","0.008400000000000001","0.012000000000000002","0.012000000000000002","0.012000000000000002","0.0328","0.0328","0.0328"
"999950","0.019600000000000003","0.019600000000000003","0.019600000000000003","0.026399999999999996","0.026399999999999996","0.026399999999999996","0.008400000000000001","0.008400000000000001","0.008400000000000001","0.0196","0.0196","0.0196","0.0256","0.0256","0.0256","0.023200000000000002","0.023200000000000002","0.023200000000000002","0.024399999999999998","0.024399999999999998","0.024399999999999998","0.047599999999999996","0.047599999999999996","0.047599999999999996","0.03","0.03","0.03","0.04800000000000001","0.04800000000000001","0.04800000000000001"
"1199950","0.0404","0.0404","0.0404","0.0416","0.0416","0.0416","0.0876","0.0876","0.0876","0.0404","0.0404","0.0404","0.0432","0.0432","0.0432","0.06120000000000001","0.06120000000000001","0.06120000000000001","0.04","0.04","0.04","0.0704","0.0704","0.0704","0.03559999999999999","0.03559999999999999","0.03559999999999999","0.048","0.048","0.048"
"1399950","0.0576","0.0576","0.0576","0.0724","0.0724","0.0724","0.08","0.08","0.08","0.0576","0.0576","0.0576","0.0584","0.0584","0.0584","0.048","0.048","0.048","0.053599999999999995","0.053599999999999995","0.053599999999999995","0.08240000000000001","0.08240000000000001","0.08240000000000001","0.0496","0.0496","0.0496","0.07800000000000001","0.07800000000000001","0.07800000000000001"
"1599950","0.0616","0.0616","0.0616","0.0824","0.0824","0.0824","0.10279999999999999","0.10279999999999999","0.10279999999999999","0.0616","0.0616","0.0616","0.07800000000000001","0.07800000000000001","0.07800000000000001","0.066","0.066","0.066","0.0548","0.0548","0.0548","0.1116","0.1116","0.1116","0.102","0.102","0.102","0.07200000000000001","0.07200000000000001","0.07200000000000001"
"1799950","0.07840000000000001","0.07840000000000001","0.07840000000000001","0.08879999999999999","0.08879999999999999","0.08879999999999999","0.1056","0.1056","0.1056","0.0784","0.0784","0.0784","0.124","0.124","0.124","0.0868","0.0868","0.0868","0.061200000000000004","0.061200000000000004","0.061200000000000004","0.0852","0.0852","0.0852","0.061200000000000004","0.061200000000000004","0.061200000000000004","0.092","0.092","0.092"
"1999950","0.10759999999999997","0.10759999999999997","0.10759999999999997","0.11280000000000001","0.11280000000000001","0.11280000000000001","0.12359999999999999","0.12359999999999999","0.12359999999999999","0.1076","0.1076","0.1076","0.1152","0.1152","0.1152","0.1004","0.1004","0.1004","0.0676","0.0676","0.0676","0.1116","0.1116","0.1116","0.052000000000000005","0.052000000000000005","0.052000000000000005","0.10679999999999999","0.10679999999999999","0.10679999999999999"
"2199950","0.142","0.142","0.142","0.1576","0.1576","0.1576","0.166","0.166","0.166","0.14200000000000002","0.14200000000000002","0.14200000000000002","0.14800000000000002","0.14800000000000002","0.14800000000000002","0.0928","0.0928","0.0928","0.096","0.096","0.096","0.0904","0.0904","0.0904","0.10400000000000002","0.10400000000000002","0.10400000000000002","0.11559999999999998","0.11559999999999998","0.11559999999999998"
