"Step","Grouped runs - charts/mean_success_rate","Grouped runs - charts/mean_success_rate__MIN","Grouped runs - charts/mean_success_rate__MAX"
"399950","0.009899999999999999","0.0028000000000000004","0.024"
"599950","0.0215","0.0104","0.027200000000000002"
"799950","0.016700000000000003","0.008400000000000001","0.028000000000000004"
"999950","0.029199999999999997","0.019600000000000003","0.047599999999999996"
"1199950","0.0534","0.0404","0.0704"
"1399950","0.0651","0.048","0.08240000000000001"
"1599950","0.0804","0.0616","0.1116"
"1799950","0.0848","0.07840000000000001","0.08879999999999999"
"1999950","0.1081","0.1004","0.11280000000000001"
"2199950","0.12069999999999999","0.0904","0.1576"
"2399950","0.12899999999999998","0.11199999999999999","0.1576"
"2599950","0.16129999999999997","0.1424","0.17679999999999998"
"2799950","0.156","0.1396","0.172"
"2999950","0.17470000000000002","0.14520000000000002","0.2132"
"3199950","0.20190000000000002","0.17200000000000004","0.24280000000000002"
"3399950","0.21150000000000002","0.1932","0.23759999999999998"
"3599950","0.2179","0.196","0.23560000000000003"
"3799950","0.21800000000000003","0.20120000000000002","0.2376"
"3999950","0.24619999999999997","0.22719999999999999","0.26639999999999997"
"4199950","0.2382","0.214","0.2672"
"4399950","0.2602","0.2296","0.2864"
"4599950","0.26780000000000004","0.2548","0.2924"
"4799950","0.2709","0.2608","0.28559999999999997"
"4999950","0.28279999999999994","0.252","0.32959999999999995"
"5199950","0.28350000000000003","0.244","0.3104"
"5399950","0.29259999999999997","0.2808","0.3188"
"5599950","0.29979999999999996","0.2764","0.3196"
"5799950","0.3081","0.2872","0.33"
"5999950","0.3156","0.2916","0.35719999999999996"
"6199950","0.3033","0.3","0.306"
"6399950","0.3141","0.2964","0.3372"
"6599950","0.32730000000000004","0.3104","0.35200000000000004"
"6799950","0.3400000000000001","0.3176","0.35960000000000003"
"6999950","0.3358","0.32439999999999997","0.3464"
"7199950","0.3439","0.3348","0.35200000000000004"
"7399950","0.3423","0.32959999999999995","0.3508"
"7599950","0.3264","0.2944","0.3616"
"7799950","0.3458","0.3256","0.36560000000000004"
"7999950","0.34969999999999996","0.33759999999999996","0.36920000000000003"
"8199950","0.3529","0.33240000000000003","0.37799999999999995"
"8399950","0.3374","0.312","0.35"
"8599950","0.34229999999999994","0.30079999999999996","0.3712"
"8799950","0.3613","0.3492","0.3664"
"8999950","0.3567","0.3495999999999999","0.37"
"9199950","0.3711","0.34519999999999995","0.39239999999999997"
"9399950","0.3821","0.36239999999999994","0.408"
"9599950","0.38070000000000004","0.3568","0.41040000000000004"
"9799950","0.37820000000000004","0.36279999999999996","0.4056"
"9999950","0.3832","0.36","0.4168"
"10199950","0.3772","0.36200000000000004","0.38799999999999996"
"10399950","0.38380000000000003","0.37","0.4012"
"10599950","0.3927999999999999","0.3616","0.426"
"10799950","0.3872","0.37560000000000004","0.4016"
"10999950","0.4013","0.37239999999999995","0.42800000000000005"
"11199950","0.40249999999999997","0.38120000000000004","0.4172"
"11399950","0.41219999999999996","0.4004","0.42599999999999993"
"11599950","0.39990000000000003","0.3676","0.4311999999999999"
"11799950","0.4043999999999999","0.38919999999999993","0.41879999999999995"
"11999950","0.4184","0.39959999999999996","0.43440000000000006"
"12199950","0.422","0.3888","0.45799999999999996"
"12399950","0.42329999999999995","0.3876","0.45439999999999997"
"12599950","0.4081","0.38280000000000003","0.45319999999999994"
"12799950","0.4272","0.4172","0.4403999999999999"
"12999950","0.42479999999999996","0.40680000000000005","0.4452"
"13199950","0.4349","0.40840000000000004","0.46159999999999995"
"13399950","0.4407","0.4164","0.46799999999999997"
"13599950","0.44449999999999995","0.40959999999999996","0.4764"
"13799950","0.4332","0.3892","0.4824"
"13999950","0.42660000000000003","0.40360000000000007","0.4512"
"14199950","0.43079999999999996","0.3936","0.47319999999999995"
"14399950","0.4239","0.3888","0.4592"
"14599950","0.43379999999999996","0.3912","0.472"
"14799950","0.4391","0.41","0.46520000000000006"
"14999950","0.4427","0.39879999999999993","0.478"
"15199950","0.448","0.40959999999999996","0.48400000000000004"
"15399950","0.4424","0.41600000000000004","0.46199999999999997"
"15599950","0.4293","0.3788","0.46759999999999996"
"15799950","0.4451","0.4128","0.4656"
"15999950","0.4393","0.41559999999999997","0.4672"
"16199950","0.43309999999999993","0.392","0.46519999999999995"
"16399950","0.4281000000000001","0.38520000000000004","0.46880000000000005"
"16599950","0.44760000000000005","0.39640000000000003","0.48719999999999997"
"16799950","0.4346","0.3992","0.484"
"16999950","0.4441","0.4052","0.484"
"17199950","0.4334","0.3968","0.48119999999999996"
"17399950","0.4454","0.41239999999999993","0.47840000000000005"
"17599950","0.4337000000000001","0.4","0.46440000000000003"
"17799950","0.4395","0.41679999999999995","0.49279999999999996"
"17999950","0.44630000000000003","0.42519999999999997","0.5012"
"18199950","0.46299999999999997","0.428","0.5264"
"18399950","0.4513","0.42840000000000006","0.5004"
"18599950","0.4535","0.41479999999999995","0.49920000000000003"
"18799950","0.45409999999999995","0.424","0.49560000000000004"
"18999950","0.4654","0.43160000000000004","0.52"
"19199950","0.4608","0.414","0.504"
"19399950","0.45189999999999997","0.3996","0.5116"
"19599950","0.44510000000000005","0.4048","0.48280000000000006"
"19799950","0.4599","0.4268","0.508"
"19999950","0.4406","0.3908","0.5136"
"20000001","0.4436","0.39720000000000005","0.5152"
